id,transformers,date_id,month,is_weekend,time,L1,L2,L3,L4,L5,L6,y
M1_D00004_00_30,M1,D00004,10,0,0:30,12.1572,9.31,2.9393,5.1576,2.7544,1.4319,10.8338
M1_D00004_01_00,M1,D00004,10,0,1:00,12.6258,9.5239,2.9244,4.7559,3.0389,1.5077,11.467
M1_D00004_01_30,M1,D00004,10,0,1:30,12.7598,9.808,3.0306,5.2917,3.2335,1.4771,11.8889
M1_D00004_02_00,M1,D00004,10,0,2:00,11.2199,8.4044,3.0001,4.6222,2.878,1.4923,11.8891
M1_D00004_02_30,M1,D00004,10,0,2:30,11.2526,8.5645,3.0007,4.1535,1.7419,1.493,11.8538
M1_D00004_03_00,M1,D00004,10,0,3:00,12.5924,9.3276,3.0006,4.856,2.506,1.5225,12.2055
M1_D00004_03_30,M1,D00004,10,0,3:30,12.3911,9.5419,2.9398,5.1244,2.4524,1.3559,11.7833
M1_D00004_04_00,M1,D00004,10,0,4:00,10.6837,7.7826,2.6809,3.8181,1.8125,1.4925,11.2556
M1_D00004_04_30,M1,D00004,10,0,4:30,11.6885,8.0314,3.2134,4.3544,2.2035,1.538,11.0796
M1_D00004_05_00,M1,D00004,10,0,5:00,12.1236,9.1148,2.9705,4.1196,2.559,1.2338,10.5166
M1_D00004_05_30,M1,D00004,10,0,5:30,11.1528,8.5287,2.7111,3.2489,1.4749,1.0513,10.0603
M1_D00004_06_00,M1,D00004,10,0,6:00,11.6546,9.0258,3.1222,2.9475,1.2439,1.1725,9.6027
M1_D00004_06_30,M1,D00004,10,0,6:30,11.7551,8.3689,3.4267,2.7465,1.2441,1.1119,9.4973
M1_D00004_07_00,M1,D00004,10,0,7:00,10.2481,7.1964,3.2741,3.8853,1.8836,1.1578,9.4266
M1_D00004_07_30,M1,D00004,10,0,7:30,9.1427,6.3432,2.8027,3.7515,1.8658,1.1577,9.6384
M1_D00004_08_00,M1,D00004,10,0,8:00,6.5307,3.8203,2.5131,3.8183,2.0436,1.0662,9.4263
M1_D00004_08_30,M1,D00004,10,0,8:30,3.9186,1.8303,2.1479,2.6794,1.6175,1.0209,9.7781
M1_D00004_09_00,M1,D00004,10,0,9:00,2.9809,0.7818,2.1171,1.9421,0.4086,1.0512,9.7083
M1_D00004_09_30,M1,D00004,10,0,9:30,-3.4157,-6.1654,2.2239,3.0815,1.724,1.1883,10.4113
M1_D00004_10_00,M1,D00004,10,0,10:00,-4.2191,-7.0181,2.6199,3.7177,1.6702,1.1122,10.7631
M1_D00004_10_30,M1,D00004,10,0,10:30,-7.3006,-10.4293,2.7112,4.2199,2.6296,0.9746,11.2557
M1_D00004_11_00,M1,D00004,10,0,11:00,-3.6504,-6.3784,2.4824,3.4832,1.5814,1.0664,11.0797
M1_D00004_11_30,M1,D00004,10,0,11:30,-4.6213,-7.212999999999999,2.1024,2.1095,0.8882,1.006,11.2911
M1_D00004_12_00,M1,D00004,10,0,12:00,-6.4631,-8.6704,1.9499,2.3441,1.2795,0.9598,11.3968
M1_D00004_12_30,M1,D00004,10,0,12:30,-4.2861,-6.1473,1.8737,2.1095,0.9953,0.9445,11.572000000000001
M1_D00004_13_00,M1,D00004,10,0,13:00,-5.3583,-7.4973,1.9803,2.2102,0.9422,1.0357,11.1857
M1_D00004_13_30,M1,D00004,10,0,13:30,-4.5542,-6.8757,2.1174,3.1816,1.1734,1.0815,11.3962
M1_D00004_14_00,M1,D00004,10,0,14:00,-4.7218,-6.6803,2.1172,2.8805,0.7999,1.1271,11.1853
M1_D00004_14_30,M1,D00004,10,0,14:30,-0.3684,-2.8605,2.1018,2.3779,0.9238,1.0512,11.0447
M1_D00004_15_00,M1,D00004,10,0,15:00,-1.2054,-3.3225,2.0257,1.9421,0.4976,1.0663,11.2558
M1_D00004_15_30,M1,D00004,10,0,15:30,-3.0812,-5.3299,2.2997,1.7751,0.5511,1.1574,11.3611
M1_D00004_16_00,M1,D00004,10,0,16:00,0.3019,-2.2563,2.4369,1.7082,0.516,1.1121,11.3264
M1_D00004_16_30,M1,D00004,10,0,16:30,4.8562,2.0079,2.8785,1.2398,-0.0353,1.1275,11.15
M1_D00004_17_00,M1,D00004,10,0,17:00,7.2343,4.016,3.1988,0.9381,-0.4436,1.1875,11.4673
M1_D00004_17_30,M1,D00004,10,0,17:30,7.5694,4.4242,3.2287,0.6031,-1.0303,1.173,10.798
M1_D00004_18_00,M1,D00004,10,0,18:00,7.1002,4.3177,2.8634,0.2013,-0.9056,0.9293,10.6928
M1_D00004_18_30,M1,D00004,10,0,18:30,8.1716,4.8333,3.5181,0.8711,-0.4437,1.1119,10.6577
M1_D00004_19_00,M1,D00004,10,0,19:00,8.4061,4.6017,3.6863,0.9045,-0.6572,1.3251,10.4117
M1_D00004_19_30,M1,D00004,10,0,19:30,8.205,4.4776,3.7312,0.905,-0.6399,1.3098,10.2708
M1_D00004_20_00,M1,D00004,10,0,20:00,8.1052,4.4958,3.5334,1.0389,-0.5509,1.3253,9.6378
M1_D00004_20_30,M1,D00004,10,0,20:30,7.7032,4.2467,3.5335,1.0386,-0.5863,1.4166,8.8286
M1_D00004_21_00,M1,D00004,10,0,21:00,7.3685,4.2115,2.94,1.3069,-0.1772,1.3558,8.7939
M1_D00004_21_30,M1,D00004,10,0,21:30,7.3682,4.4242,2.833,2.0425,0.2667,1.2494,8.7231
M1_D00004_22_00,M1,D00004,10,0,22:00,7.8704,5.0459,2.7725,1.8425,0.2489,1.2797,8.9698
M1_D00004_22_30,M1,D00004,10,0,22:30,9.7124,6.557,3.0765,2.9138,1.2084,1.2643,9.2506
M1_D00004_23_00,M1,D00004,10,0,23:00,9.4778,6.9299,2.5132,2.7129,1.6172,1.0362,9.1454
M1_D00004_23_30,M1,D00004,10,0,23:30,8.9756,6.361000000000001,2.2996,3.0142,1.2083,1.0513,9.2507
M1_D00006_00_00,M1,D00006,8,0,0:00,15.6403,11.5848,3.655,2.6122,0.4442,1.1422,17.6221
M1_D00006_00_30,M1,D00006,8,0,0:30,16.1424,12.0823,3.4727,2.9471,0.8179,0.9746,17.6572
M1_D00006_01_00,M1,D00006,8,0,1:00,15.0374,11.7448,3.3815,2.813,1.0665,0.8229,17.3407
M1_D00006_01_30,M1,D00006,8,0,1:30,14.8361,11.9045,3.0763,2.7795,0.9596,0.8838,17.1645
M1_D00006_02_00,M1,D00006,8,0,2:00,13.932,11.015999999999998,2.8483,2.4113,1.0484,0.8535,17.0245
M1_D00006_02_30,M1,D00006,8,0,2:30,13.9323,10.9275,2.9702,2.7463,1.0662,0.9445,16.8132
M1_D00006_03_00,M1,D00006,8,0,3:00,14.3676,10.8917,3.3509,2.1431,0.5154,1.0817,16.9185
M1_D00006_03_30,M1,D00006,8,0,3:30,14.1669,11.0339,3.2744,2.7129,0.5687,1.188,16.813
M1_D00006_04_00,M1,D00006,8,0,4:00,13.1952,10.199,3.1376,2.1771,0.3202,1.2336,16.848
M1_D00006_04_30,M1,D00006,8,0,4:30,11.7217,8.9376,3.1376,1.3736,-0.408,0.9599,16.6023
M1_D00006_05_00,M1,D00006,8,0,5:00,12.6256,9.2926,3.3053,0.9383,-0.5861,0.9598,16.4968
M1_D00006_05_30,M1,D00006,8,0,5:30,13.8988,9.595,4.0206,1.2395,-0.4792,1.1729,16.6721
M1_D00006_06_00,M1,D00006,8,0,6:00,13.3626,9.3103,3.8381,2.0094,-0.0888,1.3104,16.5675
M1_D00006_06_30,M1,D00006,8,0,6:30,11.0853,7.3208,3.8378,1.4738,0.0362,1.2338,16.7428
M1_D00006_07_00,M1,D00006,8,0,7:00,9.177,5.2775,3.9905,2.3109,0.2135,1.3556,17.2352
M1_D00006_07_30,M1,D00006,8,0,7:30,5.4591,1.7238,3.6253,1.6747,0.0888,1.5082,17.7278
M1_D00006_08_00,M1,D00006,8,0,8:00,1.8090000000000002,-1.8303,3.4725,1.5076,0.8352,1.4165,18.1851
M1_D00006_08_30,M1,D00006,8,0,8:30,0.1336,-3.5887,3.8539,1.3733,-0.9413,1.4163,18.5722
M1_D00006_09_00,M1,D00006,8,0,9:00,-4.8557,-9.2034,4.0512,1.775,0.373,1.6454,18.7124
M1_D00006_09_30,M1,D00006,8,0,9:30,-5.1235,-9.7541,4.0662,2.6794,1.1195,1.4318,19.2049
M1_D00006_10_00,M1,D00006,8,0,10:00,-3.5164,-8.1726,4.5082,2.7796,1.3864,1.4769999999999999,19.1348
M1_D00006_10_30,M1,D00006,8,0,10:30,-6.8647,-11.7973,4.4168,4.0525,2.186,1.2791,19.0291
M1_D00006_11_00,M1,D00006,8,0,11:00,-7.9373,-12.7386,4.5386,4.2536,2.5411,1.3864,18.6422
M1_D00006_11_30,M1,D00006,8,0,11:30,-4.3201,-9.0078,4.3556,2.5453,0.5332,1.3863,19.0996
M1_D00006_12_00,M1,D00006,8,0,12:00,-6.028,-10.4113,4.386,2.4445,0.888,1.2186,19.4515
M1_D00006_12_30,M1,D00006,8,0,12:30,-5.1905,-9.3986,4.4778,2.3776,0.8173,1.3254,19.9088
M1_D00006_13_00,M1,D00006,8,0,13:00,4.8564,-0.2482,4.9043,1.0055,-0.7818,1.371,20.0844
M1_D00006_13_30,M1,D00006,8,0,13:30,0.6702,-4.1397,4.5841,1.5406,0.0004,1.234,20.541999999999998
M1_D00006_14_00,M1,D00006,8,0,14:00,2.1105,-1.7761,4.2039,1.5073,-0.3376,1.3255,20.0144
M1_D00006_14_30,M1,D00006,8,0,14:30,3.8517,-0.3015,4.0207,1.0722,-0.6754,1.1882,19.5562
M1_D00006_15_00,M1,D00006,8,0,15:00,4.1535,0.0535,4.2796,1.0387,-0.5684,1.3252,19.4861
M1_D00006_15_30,M1,D00006,8,0,15:30,4.0858,-0.1236,4.1734,0.8044,-0.6218,1.4774,19.6978
M1_D00006_16_00,M1,D00006,8,0,16:00,6.3634,2.0077,3.9295,0.8043,-0.7107,1.4318,19.3451
M1_D00006_16_30,M1,D00006,8,0,16:30,7.3684,2.6828,4.3705,0.8044,-0.7993,1.4317,19.3102
M1_D00006_17_00,M1,D00006,8,0,17:00,9.2097,4.602,4.3252,0.3685,-0.9239,1.2494,19.2397
M1_D00006_17_30,M1,D00006,8,0,17:30,9.3775,5.4015,3.9754,0.0674,-1.297,1.188,18.9234
M1_D00006_18_00,M1,D00006,8,0,18:00,9.4777,5.6857,3.9144,0.3687,-1.2611,1.3401,18.4314
M1_D00006_18_30,M1,D00006,8,0,18:30,11.3536,6.8945,4.4018,0.3351,-1.19,1.1576,18.1148
M1_D00006_19_00,M1,D00006,8,0,19:00,13.4299,8.4398,4.6451,0.6369,-0.8346,1.0818,17.7979
M1_D00006_19_30,M1,D00006,8,0,19:30,14.6352,9.5944,5.5892,1.1057,-0.8876,1.2186,17.5867
M1_D00006_20_00,M1,D00006,8,0,20:00,15.3047,9.7547,5.6958,0.9716,-1.0478,1.2185,17.4465
M1_D00006_20_30,M1,D00006,8,0,20:30,14.4684,9.0617,5.3151,0.7371,-0.8524,1.1117,17.2709
M1_D00006_21_00,M1,D00006,8,0,21:00,13.2287,8.476,4.7366,0.2349,-1.3677,1.0661,17.6572
M1_D00006_21_30,M1,D00006,8,0,21:30,12.4583,8.049,4.4473,0.8376,-1.19,1.0969,17.6575
M1_D00006_22_00,M1,D00006,8,0,22:00,12.3913,8.1731,4.1125,0.7039,-0.6573,0.883,17.6923
M1_D00006_22_30,M1,D00006,8,0,22:30,11.1526,7.1253,3.9293,0.2682,-1.6347,0.9753,17.5516
M1_D00006_23_00,M1,D00006,8,0,23:00,12.1907,8.6353,3.7769999999999997,1.2392,-0.4618,0.8682,17.1647
M1_D00006_23_30,M1,D00006,8,0,23:30,14.0327,10.3413,3.7006,1.9094,0.2314,0.8838,17.4813
M1_D00007_00_00,M1,D00007,8,0,0:00,14.6018,11.2829,3.5332,6.162000000000001,4.2824,1.097,15.7227
M1_D00007_00_30,M1,D00007,8,0,0:30,14.9702,11.9398,3.1529,6.4639,4.5844,1.0362,15.8632
M1_D00007_01_00,M1,D00007,8,0,1:00,14.3339,11.0694,3.4875,6.6311,4.0336,1.6602,15.9338
M1_D00007_01_30,M1,D00007,8,0,1:30,14.434000000000001,11.2466,3.1067,6.5641,4.6906,1.1884,15.8285
M1_D00007_02_00,M1,D00007,8,0,2:00,14.6691,11.2293,3.0919,6.0283,3.9977,1.1122,16.285999999999998
M1_D00007_02_30,M1,D00007,8,0,2:30,13.3629,10.5716,3.0612,6.4974,4.5313,1.1119,16.4265
M1_D00007_03_00,M1,D00007,8,0,3:00,13.9324,11.3711,3.1228,6.2293,4.4598,1.3402,16.0394
M1_D00007_03_30,M1,D00007,8,0,3:30,12.5251,9.6123,3.1987,5.3248,3.4472,1.2032,16.3213
M1_D00007_04_00,M1,D00007,8,0,4:00,12.4917,9.5771,3.2443,5.1912,3.3409,1.2641,16.2154
M1_D00007_04_30,M1,D00007,8,0,4:30,12.1908,8.8305,3.0462,4.5888,3.0563,1.2486,16.3564
M1_D00007_05_00,M1,D00007,8,0,5:00,12.6259,8.7776,3.6858,4.9565,2.8428,1.2946,16.0397
M1_D00007_05_30,M1,D00007,8,0,5:30,13.2287,8.9197,3.8835,4.6552,2.3987,1.2948,16.0037
M1_D00007_06_00,M1,D00007,8,0,6:00,12.0896,7.6758,4.2948,4.5215,2.5231,1.4321,16.1799
M1_D00007_06_30,M1,D00007,8,0,6:30,11.0521,7.178,3.6702,5.2243,3.3937,1.2036,16.4261
M1_D00007_07_00,M1,D00007,8,0,7:00,8.4731,4.886,3.3963,5.7937,3.9089,1.5388,17.2354
M1_D00007_07_30,M1,D00007,8,0,7:30,5.8942,2.2567,3.595,6.4303,4.0156,1.4778,18.0442
M1_D00007_08_00,M1,D00007,8,0,8:00,2.7133,-0.9236,3.5183,6.0952,4.709,1.4466,18.1504
M1_D00007_08_30,M1,D00007,8,0,8:30,0.1341,-3.3932,3.3963,6.2628,4.8151,1.3709,18.1147
M1_D00007_09_00,M1,D00007,8,0,9:00,-2.7122,-6.6094,3.4116,6.7318,4.4422,1.3099,18.8882
M1_D00007_09_30,M1,D00007,8,0,9:30,-4.4878,-9.2561,3.6247,7.0334,5.0641,1.3861,18.8535
M1_D00007_10_00,M1,D00007,8,0,10:00,-5.4245,-9.807,4.4777,7.8038,5.952000000000001,1.4780000000000002,19.3806
M1_D00007_10_30,M1,D00007,8,0,10:30,-6.1283,-10.8911,4.6297,7.9378,6.1478,1.3401,18.8176
M1_D00007_11_00,M1,D00007,8,0,11:00,-8.7405,-13.1834,4.4018,7.6696,6.2189,1.3101,18.4312
M1_D00007_11_30,M1,D00007,8,0,11:30,-9.6448,-13.8761,4.0967,7.7702,6.1124,1.4623,18.7122
M1_D00007_12_00,M1,D00007,8,0,12:00,-8.7736,-13.6452,4.4629,7.9713,6.1832,1.28,18.8883
M1_D00007_12_30,M1,D00007,8,0,12:30,-8.205,-12.952,4.5994,8.3391,6.2008,1.3102,19.3101
M1_D00007_13_00,M1,D00007,8,0,13:00,-8.0378,-13.0945,4.9802,7.9041,5.9524,1.3095,19.4159
M1_D00007_13_30,M1,D00007,8,0,13:30,-5.492000000000001,-10.1809,4.6609,7.7033,5.4722,1.3713,20.1899
M1_D00007_14_00,M1,D00007,8,0,14:00,-4.4873,-9.3105,4.4472,6.8992,5.5437,1.3251,20.19
M1_D00007_14_30,M1,D00007,8,0,14:30,-4.42,-8.9902,4.3258,7.2342,5.2767,1.3554,20.0138
M1_D00007_15_00,M1,D00007,8,0,15:00,-3.7174,-7.4087,4.6296,6.5977,4.62,1.2946,20.4356
M1_D00007_15_30,M1,D00007,8,0,15:30,-0.9038,-5.4367,4.1881,5.2241,3.6785,1.3559,20.9636
M1_D00007_16_00,M1,D00007,8,0,16:00,0.4692,-3.3758,4.0816,4.8563,3.3408,1.2649,21.703000000000003
M1_D00007_16_30,M1,D00007,8,0,16:30,3.1482,-0.4084,4.2189,4.3877,2.7897,1.127,22.195
M1_D00007_17_00,M1,D00007,8,0,17:00,6.0616,1.9191,4.2036,3.7845,2.3633,1.3401,21.9489
M1_D00007_17_30,M1,D00007,8,0,17:30,8.4062,4.6198,4.0515,3.2155,1.7059,1.1272,20.8576
M1_D00007_18_00,M1,D00007,8,0,18:00,9.7121,5.7386,3.9143,2.9136,1.4745,1.0514,19.0999
M1_D00007_18_30,M1,D00007,8,0,18:30,11.3198,7.0892,4.1429,3.0479,1.2618,1.0817,18.4314
M1_D00007_19_00,M1,D00007,8,0,19:00,14.8697,9.5412,5.3761,4.0862,2.043,1.1878,17.7976
M1_D00007_19_30,M1,D00007,8,0,19:30,17.0468,10.7674,6.6095,4.3208,2.2387,1.3709,17.657
M1_D00007_20_00,M1,D00007,8,0,20:00,17.180999999999997,10.7144,6.6096,4.4212,2.0438,1.3253,17.3755
M1_D00007_20_30,M1,D00007,8,0,20:30,16.5777,10.234,6.1989,4.3542,1.9904,1.4324,17.0242
M1_D00007_21_00,M1,D00007,8,0,21:00,15.7401,10.0921,5.8484,4.4883,2.5234,1.3254,16.9536
M1_D00007_21_30,M1,D00007,8,0,21:30,15.5058,9.861,5.6657,5.1239,2.5945,1.2494,16.9891
M1_D00007_22_00,M1,D00007,8,0,22:00,15.6734,10.4477,5.254,4.9901,2.8079,1.432,17.480999999999998
M1_D00007_22_30,M1,D00007,8,0,22:30,16.5442,11.2648,5.0106,5.6261,3.483,1.0663,16.9891
M1_D00007_23_00,M1,D00007,8,0,23:00,15.7068,11.14,4.7368,6.4639,4.0339,1.2184,16.9887
M1_D00007_23_30,M1,D00007,8,0,23:30,16.042,12.0112,4.8889,6.4973,4.6021,1.3711,16.3558
M1_D00008_00_00,M1,D00008,2,0,0:00,8.8748,6.4503,2.3911,1.2733,0.3907,0.5181,6.4025
M1_D00008_00_30,M1,D00008,2,0,0:30,8.3393,6.0411,2.2543,1.2063,0.33799999999999997,0.5181,6.1203
M1_D00008_01_00,M1,D00008,2,0,1:00,7.6362,5.5611,2.0866,1.0722,0.249,0.5182,6.402
M1_D00008_01_30,M1,D00008,2,0,1:30,7.1337,5.1351,1.9496,0.9046,0.1245,0.4872,5.7687
M1_D00008_02_00,M1,D00008,2,0,2:00,6.9664,5.0109,1.9345,0.9381,0.1421,0.5028,5.7332
M1_D00008_02_30,M1,D00008,2,0,2:30,6.665,4.8152,1.8732,0.9046,0.1071,0.4873,6.1201
M1_D00008_03_00,M1,D00008,2,0,3:00,6.6313,4.7089,1.8731,0.9383,0.1421,0.4871,6.3666
M1_D00008_03_30,M1,D00008,2,0,3:30,6.4639999999999995,4.6023,1.8434,0.8711,0.1073,0.4873,6.1206
M1_D00008_04_00,M1,D00008,2,0,4:00,6.5977,4.691,1.8889,0.8713,0.1604,0.4721,6.1906
M1_D00008_04_30,M1,D00008,2,0,4:30,6.5977,4.6731,1.9345,0.9047,0.1422,0.4724,5.8745
M1_D00008_05_00,M1,D00008,2,0,5:00,6.6645,4.6559,1.9799,0.8714,0.1072,0.5184,5.5574
M1_D00008_05_30,M1,D00008,2,0,5:30,6.9326,4.8507,2.072,0.9383,0.1246,0.5182,5.627999999999999
M1_D00008_06_00,M1,D00008,2,0,6:00,7.5358,5.1703,2.2995,0.9385,0.142,0.5175,5.4871
M1_D00008_06_30,M1,D00008,2,0,6:30,8.9417,6.1653,2.7875,1.0721,0.2314,0.4874,5.0654
M1_D00008_07_00,M1,D00008,2,0,7:00,10.9851,7.5871,3.3810000000000002,1.3404,0.3732,0.5028,5.1354
M1_D00008_07_30,M1,D00008,2,0,7:30,10.8847,7.1957,3.5333,1.374,0.3906,0.5028,5.7682
M1_D00008_08_00,M1,D00008,2,0,8:00,9.7125,6.3961,3.2741,1.2399,0.3378,0.5184,6.0147
M1_D00008_08_30,M1,D00008,2,0,8:30,6.5976,3.6426,2.9241,0.9719,0.1777,0.5185,6.3317
M1_D00008_09_00,M1,D00008,2,0,9:00,-2.3774,-5.8806,2.8786,0.8713,0.1421,0.5333,6.6125
M1_D00008_09_30,M1,D00008,2,0,9:30,-5.8269,-8.9546,2.5588,1.0388,0.2668,0.5181,6.8586
M1_D00008_10_00,M1,D00008,2,0,10:00,-6.9993,-9.3103,2.5588,1.0387,0.2668,0.5489999999999999,6.9292
M1_D00008_10_30,M1,D00008,2,0,10:30,-1.6407,-4.4593,2.8789,0.7036,0.0894,0.5488,7.2108
M1_D00008_11_00,M1,D00008,2,0,11:00,-8.2717,-11.7794,3.1833,1.5407,0.4622,0.5332,7.0349
M1_D00008_11_30,M1,D00008,2,0,11:30,-8.4729,-11.3003,2.8787,1.5741,0.6397,0.5335,6.5071
M1_D00008_12_00,M1,D00008,2,0,12:00,-10.2811,-12.8275,2.4829,1.5742,0.5508,0.518,6.683
M1_D00008_12_30,M1,D00008,2,0,12:30,-10.1135,-13.2718,2.3154,1.3735,0.3913,0.5184,7.1757
M1_D00008_13_00,M1,D00008,2,0,13:00,-1.7078,-3.3396,2.315,0.57,0.0003,0.5181,7.774
M1_D00008_13_30,M1,D00008,2,0,13:30,3.2822,1.1733,2.3608,0.6032,-0.0179,0.5026,7.4215
M1_D00008_14_00,M1,D00008,2,0,14:00,6.4302,3.8555,2.5286,0.8714,0.1603,0.5335,7.5274
M1_D00008_14_30,M1,D00008,2,0,14:30,7.067,4.4241,2.6047,0.8714,0.0891,0.503,7.5977
M1_D00008_15_00,M1,D00008,2,0,15:00,6.6312,3.8913,2.6347,0.8377,0.1075,0.5181,7.4575
M1_D00008_15_30,M1,D00008,2,0,15:30,8.1717,5.437,2.7722,1.0055,0.1779,0.4871,7.3514
M1_D00008_16_00,M1,D00008,2,0,16:00,10.1477,6.8407,3.3509,1.2732,0.2846,0.5334,7.3870000000000005
